"Commune","Année","Semestre","Trimestre","Type de bâtiment","Superficie du terrain","Nombre de ventes","Prix médian","1er quartile du prix","3ème quartile du prix"
"Anderlecht","2013","1er semestre 2013",,"Maisons avec 4 ou plus de façades (type ouvert)","0-99m²",,,,
"Anderlecht","2013","1er semestre 2013",,"Maisons avec 4 ou plus de façades (type ouvert)","100-299m²",,,,
"Anderlecht","2013","1er semestre 2013",,"Maisons avec 4 ou plus de façades (type ouvert)","300-599m²",,,,
"Anderlecht","2013","1er semestre 2013",,"Maisons avec 4 ou plus de façades (type ouvert)","600-999m²",,,,
"Anderlecht","2013","1er semestre 2013",,"Maisons avec 4 ou plus de façades (type ouvert)","1000-1499m²",1,,,
"Anderlecht","2013","1er semestre 2013",,"Maisons avec 4 ou plus de façades (type ouvert)",">=1500m²",1,,,
"Anderlecht","2013","1er semestre 2013",,"Appartements","Superficie inconnue",279,133000,109000,165000
"Anderlecht","2013","1er semestre 2013",,"Appartements","0-99m²",,,,
"Anderlecht","2013","1er semestre 2013",,"Appartements","100-299m²",,,,
"Anderlecht","2013","1er semestre 2013",,"Appartements","300-599m²",,,,
"Anderlecht","2013","1er semestre 2013",,"Appartements","600-999m²",,,,
"Anderlecht","2013","1er semestre 2013",,"Appartements","1000-1499m²",,,,
"Anderlecht","2013","1er semestre 2013",,"Appartements",">=1500m²",,,,
"Anderlecht","2013","2ème semestre 2013",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)","Superficie inconnue",,,,
"Anderlecht","2013","2ème semestre 2013",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)","0-99m²",23,190000,159000,228000
"Anderlecht","2013","2ème semestre 2013",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)","100-299m²",55,239000,200000,300000
"Anderlecht","2013","2ème semestre 2013",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)","300-599m²",8,,,
"Anderlecht","2013","2ème semestre 2013",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)","600-999m²",4,,,
"Anderlecht","2013","2ème semestre 2013",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)","1000-1499m²",,,,
"Anderlecht","2013","2ème semestre 2013",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",">=1500m²",1,,,
"Anderlecht","2013","2ème semestre 2013",,"Maisons avec 4 ou plus de façades (type ouvert)","Superficie inconnue",,,,
"Anderlecht","2013","2ème semestre 2013",,"Maisons avec 4 ou plus de façades (type ouvert)","0-99m²",,,,
"Anderlecht","2013","2ème semestre 2013",,"Maisons avec 4 ou plus de façades (type ouvert)","100-299m²",,,,
"Anderlecht","2013","2ème semestre 2013",,"Maisons avec 4 ou plus de façades (type ouvert)","300-599m²",1,,,
"Anderlecht","2013","2ème semestre 2013",,"Maisons avec 4 ou plus de façades (type ouvert)","600-999m²",,,,
"Anderlecht","2013","2ème semestre 2013",,"Maisons avec 4 ou plus de façades (type ouvert)","1000-1499m²",2,,,
"Anderlecht","2013","2ème semestre 2013",,"Maisons avec 4 ou plus de façades (type ouvert)",">=1500m²",1,,,
"Anderlecht","2013","2ème semestre 2013",,"Appartements","Superficie inconnue",284,135000,110000,165000
"Anderlecht","2013","2ème semestre 2013",,"Appartements","0-99m²",,,,
"Anderlecht","2013","2ème semestre 2013",,"Appartements","100-299m²",,,,
"Anderlecht","2013","2ème semestre 2013",,"Appartements","300-599m²",,,,
"Anderlecht","2013","2ème semestre 2013",,"Appartements","600-999m²",,,,
"Anderlecht","2013","2ème semestre 2013",,"Appartements","1000-1499m²",,,,
"Anderlecht","2013","2ème semestre 2013",,"Appartements",">=1500m²",,,,
"Anderlecht","2014","1er semestre 2014",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)","Superficie inconnue",,,,
"Anderlecht","2014","1er semestre 2014",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)","0-99m²",14,,,
"Anderlecht","2014","1er semestre 2014",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)","100-299m²",64,239000,203333.5,272500
"Anderlecht","2014","1er semestre 2014",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)","300-599m²",12,,,
"Anderlecht","2014","1er semestre 2014",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)","600-999m²",2,,,
"Anderlecht","2014","1er semestre 2014",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)","1000-1499m²",1,,,
"Anderlecht","2014","1er semestre 2014",,"Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)",">=1500m²",1,,,
"Anderlecht","2014","1er semestre 2014",,"Maisons avec 4 ou plus de façades (type ouvert)","Superficie inconnue",,,,
"Anderlecht","2014","1er semestre 2014",,"Maisons avec 4 ou plus de façades (type ouvert)","0-99m²",,,,
"Anderlecht","2014","1er semestre 2014",,"Maisons avec 4 ou plus de façades (type ouvert)","100-299m²",,,,
"Anderlecht","2014","1er semestre 2014",,"Maisons avec 4 ou plus de façades (type ouvert)","300-599m²",1,,,
"Anderlecht","2014","1er semestre 2014",,"Maisons avec 4 ou plus de façades (type ouvert)","600-999m²",,,,
"Anderlecht","2014","1er semestre 2014",,"Maisons avec 4 ou plus de façades (type ouvert)","1000-1499m²",2,,,
"Anderlecht","2014","1er semestre 2014",,"Maisons avec 4 ou plus de façades (type ouvert)",">=1500m²",,,,
"Anderlecht","2014","1er semestre 2014",,"Appartements","Superficie inconnue",272,134000,105000,171000
"Anderlecht","2014","1er semestre 2014",,"Appartements","0-99m²",,,,
